Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Flakked,ES,ADC,6,16.70%,2.4,2.7,2.5,3.3,9,391,55.60%,22.4,400,0.9,0.43,0.21,0.12,-376,-9,-203,16.70%,16.70%,0,-
Flandre,CN,TOP,11,54.50%,3.5,2.1,1.8,4.2,8.1,381,47.80%,21.8,502,0.78,0.24,0.21,0.12,-49,-6,-192,9.10%,0%,0,3
Fudge,AU,TOP,6,16.70%,1.5,0.8,2.2,2.5,7.8,331,33.60%,18.8,348,0.83,0.35,0.13,0.11,-526,-9,-56,0%,0%,0,-
GALA,CN,ADC,10,50%,5.8,4.4,1.6,4.9,10,452,64.50%,30.7,619,0.91,0.25,0.37,0.08,151,4,108,10%,0%,0,-
Gemini,TW,JUNGLE,6,16.70%,1.3,1.3,4.5,4.5,4.5,278,72.20%,12.3,221,1.3,0.46,0.34,0.4,-638,-2,-157,50%,0%,0,2
Gumayusi,KR,ADC,18,72.20%,7.6,5,1.4,5.9,9.7,481,66.10%,25.3,625,1.35,0.5,0.33,0.19,619,18,306,22.20%,11.10%,0,1
Hope,CN,ADC,14,71.40%,3.8,4.2,2.6,5.8,9.3,444,66.10%,24.7,582,1.23,0.51,0.37,0.2,-441,-3,-342,28.60%,14.30%,0,1
Huhi,KR,ADC,1,0%,7,0,1,7,9.3,392,70%,13.4,281,0.94,0.48,0.15,0.05,-238,-5,168,0%,0%,0,-
Huhi,KR,SUPPORT,5,20%,1.7,0.8,3.4,5,1.1,223,50.30%,8.2,130,2.26,1.49,0.32,0.43,148,11,202,20%,20%,0,-
Humanoid,CZ,MID,6,33.30%,2.3,3.2,2.7,2.8,9.6,418,54.20%,33.5,673,0.59,0.33,0.11,0.03,351,18,632,0%,16.70%,0,4
Hylissang,BG,SUPPORT,6,33.30%,1.8,0.2,4.2,7.2,0.7,220,74.90%,8,161,2.24,1.23,0.29,0.31,-488,-3,-336,16.70%,33.30%,0,-
Impact,KR,TOP,6,16.70%,1.6,1.3,3.2,3.7,7,330,63.70%,22.7,437,0.82,0.3,0.2,0.1,-918,-17,-226,0%,33.30%,0,1
Inspired,PL,JUNGLE,6,16.70%,2.6,2.2,2.3,4,6.4,340,70.20%,17.8,338,1.82,0.44,0.5,0.17,50,7,120,16.70%,0%,0,-
JackeyLove,CN,ADC,6,50%,4.5,5.3,2.3,5.2,9.5,499,76.60%,30,665,1.21,0.39,0.49,0.14,921,11,220,50%,0%,0,1
Jankos,PL,JUNGLE,6,16.70%,2.6,1.3,2.8,6.2,5.8,321,80.90%,16.9,301,1.86,0.68,0.6,0.25,-413,-6,-88,66.70%,0%,0,1
Jensen,DK,MID,6,16.70%,1.7,2.7,2.8,2.2,8.1,365,71.50%,35.6,617,0.72,0.3,0.13,0.14,-226,-8,-95,16.70%,16.70%,0,1
Jiejie,CN,JUNGLE,11,54.50%,3.6,1.7,2.6,7.8,5.5,332,75.80%,14.8,335,2.08,0.61,0.64,0.28,578,1,128,54.50%,9.10%,0,-
Juhan,KR,JUNGLE,1,0%,2.3,3,4,6,4.6,297,90%,17.8,357,1.33,0.72,0.25,0.44,596,13,271,0%,0%,0,-
Kanavi,KR,JUNGLE,14,71.40%,3.8,4.6,2.7,5.9,6.8,410,65.90%,18.3,431,2.08,0.57,0.69,0.3,440,10,312,28.60%,7.10%,0,3
Kaori,TR,ADC,6,16.70%,2,3.8,3,2.2,8.9,418,67.60%,27.7,537,0.73,0.31,0.19,0.06,82,3,-92,33.30%,16.70%,0,-
Kati,VN,MID,6,16.70%,2,1.5,3.2,4.8,7.8,345,72.30%,25,429,0.87,0.41,0.16,0.21,-962,-13,-606,0%,33.30%,0,-
Kellin,KR,SUPPORT,12,58.30%,5.2,0.7,2.1,10.3,0.5,246,75.20%,7.6,177,2.68,1.77,0.28,0.49,401,-2,12,16.70%,0%,0,1
Keria,KR,SUPPORT,18,72.20%,7.6,1.4,1.6,10.9,0.7,269,75.90%,10.7,262,2.36,1.6,0.21,0.54,241,-1,203,33.30%,0%,0,-
Kiaya,VN,TOP,6,16.70%,1.5,1.7,3.7,3.7,7.5,338,59%,22.4,404,0.75,0.35,0.14,0.12,-224,0,-29,16.70%,0%,0,-
Knight,CN,MID,6,50%,8.4,4.3,1.2,5.5,9.2,446,71.50%,32.9,686,0.96,0.26,0.3,0.11,552,9,433,50%,0%,0,1
Koala,TW,SUPPORT,6,16.70%,1,0.8,4.8,4.2,1.2,233,68.90%,9,156,2.56,1.76,0.27,0.4,-596,6,-141,50%,33.30%,0,-
Larssen,SE,MID,10,40%,6.2,3.2,1.2,4.2,9,417,62.90%,29.9,606,0.84,0.38,0.14,0.08,229,9,370,10%,0%,0,3
Lehends,KR,SUPPORT,15,66.70%,3.9,0.7,2.5,8.8,0.5,234,75.80%,8.6,187,2.47,1.51,0.25,0.48,-53,-4,26,40%,13.30%,0,-
Lehends,KR,ADC,1,0%,1.3,1,3,3,5,258,80%,12.8,173,0.8,0.43,0.2,0.37,-2140,-54,-415,0%,0%,0,-
Levi,VN,JUNGLE,6,16.70%,1.9,2.7,4.5,5.7,5.8,336,92.70%,22.7,465,2.08,0.74,0.56,0.27,-46,7,6,33.30%,16.70%,0,-
Malrang,KR,JUNGLE,10,40%,2.6,1.5,3.1,6.6,4.7,297,73.20%,13,261,1.8,0.63,0.52,0.37,-707,-21,-565,30%,0%,0,-
Mark,CN,SUPPORT,6,50%,5.3,1.2,2,9.3,0.8,250,80.40%,7.8,181,2.71,1.66,0.31,0.46,50,-1,186,66.70%,0%,0,-
Ming,CN,SUPPORT,10,50%,3.4,0.9,2.7,8.3,0.8,239,70.90%,8,166,2.67,1.63,0.28,0.45,74,-2,47,10%,10%,0,-
Missing,CN,SUPPORT,14,71.40%,3.9,1.1,2.9,10.3,0.7,248,73.80%,9.7,234,2.46,1.61,0.27,0.47,119,0,63,28.60%,14.30%,0,-
Mission,TW,MID,6,16.70%,1.6,1.5,3.3,3.7,9.5,412,64.70%,35.4,626,0.81,0.39,0.17,0.2,268,7,248,16.70%,0%,0,3
Nuguri,KR,TOP,12,58.30%,2.3,2.5,2.9,4.3,7.9,392,48.40%,21.6,508,0.94,0.3,0.18,0.19,339,1,24,25%,25%,0,5
Odoamne,RO,TOP,10,40%,2.2,1.7,3.1,5,7.2,346,58.60%,23.3,471,0.87,0.36,0.13,0.11,-177,-7,-49,20%,20%,0,2
Oner,KR,JUNGLE,18,72.20%,4.5,2.8,2.4,8.1,5.7,361,68.20%,14.5,360,1.75,0.55,0.42,0.33,-49,-1,-69,27.80%,16.70%,0,2
Peanut,KR,JUNGLE,16,62.50%,4.8,1.9,1.8,6.7,5.7,334,67.60%,14.1,312,1.79,0.5,0.53,0.31,-60,3,69,50%,6.30%,0,1
Pyosik,KR,JUNGLE,20,70%,5.5,2.5,1.7,6.6,5.5,338,69.60%,15,314,2.27,0.75,0.66,0.42,72,0,195,50%,0%,0,-
Razork,ES,JUNGLE,6,33.30%,2.5,1.5,2.7,5.2,5.1,301,75.10%,16.4,328,1.45,0.32,0.39,0.3,-342,4,14,16.70%,16.70%,0,-
Rest,TW,TOP,6,16.70%,1.2,1.2,3,2.3,8.1,353,36.10%,22.4,407,0.69,0.26,0.16,0.08,22,3,-49,16.70%,0%,0,-
Ruler,KR,SUPPORT,1,0%,1.3,0,3,4,2.2,245,80%,9.4,127,2.52,1.29,0.93,0.46,94,5,-60,0%,0%,0,-
Ruler,KR,ADC,15,66.70%,6.8,4.1,1.3,4.5,9.7,452,68.60%,30.9,661,1.42,0.49,0.42,0.22,532,10,217,40%,0%,0,1
Scout,KR,MID,11,54.50%,3.6,4.2,2.3,4.1,8.2,407,65.80%,29,671,0.89,0.38,0.15,0.16,226,-1,57,36.40%,9.10%,0,4
ShowMaker,KR,MID,12,58.30%,6.1,3.4,1.5,5.8,8.3,407,64.80%,27.2,633,1.29,0.62,0.27,0.3,311,8,432,0%,8.30%,0,5
Shunn,TW,ADC,5,20%,1.4,3.2,3.8,2.2,8.8,413,63.10%,22.8,416,1.19,0.43,0.38,0.17,-207,0,8,40%,0%,0,-
Sty1e,VN,ADC,6,16.70%,1.8,2.2,3.3,3.8,8.9,215,70.40%,21.5,393,1.22,0.57,0.35,0.14,-1211,-25,-560,16.70%,0%,0,-
Targamas,BE,SUPPORT,6,16.70%,2.3,0.2,3.2,7,1,217,63.30%,8.7,143,2.03,1.19,0.27,0.26,-345,5,-300,16.70%,16.70%,0,-
Tian,CN,JUNGLE,6,50%,3.9,1.8,2.3,7.3,5.4,330,62.70%,13.5,319,1.87,0.62,0.62,0.46,-300,1,-82,33.30%,0%,0,-
Trymbi,PL,SUPPORT,10,40%,2.4,0.3,3.1,7,0.7,223,61.60%,10.7,211,2.01,1.09,0.31,0.19,-429,-6,-304,20%,20%,0,-
Upset,DE,ADC,6,33.30%,4.8,3.3,1.3,3,9.7,423,55.70%,23.8,490,1.03,0.44,0.2,0.1,-561,4,166,16.70%,16.70%,0,1
Viper,KR,ADC,11,54.50%,5.2,4.2,1.8,5.3,9.6,442,70.20%,27.2,626,1.37,0.53,0.39,0.22,-67,-7,-228,36.40%,0%,0,-
Vulcan,CA,SUPPORT,6,16.70%,1.8,0.2,3.7,6.3,0.8,214,69.50%,8.4,157,2.03,1.3,0.2,0.3,-502,-3,-54,33.30%,16.70%,0,-
Wayward,CN,TOP,6,50%,1.4,1,4,4.5,8.2,365,34.50%,15.8,338,0.83,0.39,0.14,0.23,-47,2,-104,0%,33.30%,0,-
Wei,CN,JUNGLE,10,50%,4,2.2,2.4,7.4,5.1,330,65.60%,15.2,294,1.98,0.61,0.55,0.37,41,-5,65,40%,20%,0,1
Wunder,DK,TOP,6,33.30%,1.8,1.3,3,4.2,7.2,327,56.80%,18.3,368,0.98,0.46,0.14,0.13,-412,-6,-302,0%,0%,0,1
Yagao,CN,MID,14,71.40%,3.6,2.4,2.6,7.1,8.1,391,59.80%,22.1,524,1.03,0.27,0.28,0.11,-336,-13,-412,7.10%,0%,0,2
Zeka,KR,MID,21,66.70%,5.2,4,1.6,4.1,9.4,435,60.60%,22.7,481,1.09,0.36,0.25,0.22,141,0,-147,38.10%,9.50%,0,11
Zeus,KR,TOP,18,72.20%,3.2,3.6,3.2,6.6,7.7,423,63.20%,25,622,1,0.41,0.16,0.21,344,4,135,5.60%,16.70%,0,6
Zven,DK,SUPPORT,6,16.70%,0.9,0.8,4.5,3,0.9,219,65%,8.8,151,2.29,1.22,0.27,0.2,-180,0,-269,50%,33.30%,0,-
deokdam,KR,ADC,12,58.30%,5.2,4.5,1.9,5.4,8.8,448,67.30%,25,588,0.97,0.39,0.26,0.11,658,2,298,16.70%,8.30%,0,-
jojopyun,CA,MID,6,16.70%,1,1.3,3.8,2.7,7.7,347,40.20%,23.4,451,0.93,0.31,0.25,0.19,-233,-2,-216,0%,0%,0,-
kingen,KR,TOP,21,66.70%,3.5,2.7,2.2,5,7.4,372,61.30%,22.2,475,1.01,0.38,0.24,0.26,-44,1,114,33.30%,14.30%,0,7
meiko,CN,SUPPORT,11,54.50%,3.6,0.9,2.6,8.6,0.8,240,70.50%,7.2,165,2.63,1.46,0.34,0.46,-15,3,63,45.50%,9.10%,0,-
ssumday,KR,TOP,6,16.70%,1.9,2.2,2.8,3.3,8.5,374,58.80%,27.2,438,1.05,0.36,0.27,0.18,483,6,123,0%,16.70%,0,-
xiaohu,CN,MID,10,50%,2.9,2.7,2.6,4.8,8.5,392,59.80%,25.3,488,0.87,0.19,0.28,0.12,-190,-6,-123,40%,10%,0,-
ADD,KR,TOP,5,20%,1.4,2.6,5,4.6,6.5,340,69.30%,26.5,519,1.14,0.39,0.25,0.11,-724,-14,-642,0%,20%,0,1
Aladoric,AU,SUPPORT,5,0%,1.4,0.4,4.2,5.6,1.2,209,73.80%,7.5,143,2.44,1.56,0.26,0.47,-73,2,85,20%,0%,0,-
Armut,TR,TOP,12,50%,2.8,1.8,2.9,6.3,7.8,383,61.90%,22.2,439,1.17,0.49,0.2,0.18,299,8,442,33.30%,8.30%,0,1
Arthur,KR,JUNGLE,5,0%,1.7,3,4,3.8,5.5,339,79.70%,18.5,373,1.58,0.66,0.38,0.44,-167,0,-183,20%,20%,0,1
BeanJ,VN,JUNGLE,9,33.30%,2.2,1.9,3.6,6,5,318,66%,14.8,304,1.15,0.34,0.28,0.28,-384,-5,-254,11.10%,0%,0,1
BeryL,KR,SUPPORT,5,100%,7.6,1.6,1.4,9,1.2,263,59.20%,8.6,230,2.59,1.57,0.29,0.42,456,-1,-120,20%,20%,0,2
Brance,BR,ADC,10,40%,3.4,3.6,2.8,5.9,8.3,399,68.30%,25.5,552,1.17,0.47,0.29,0.21,-27,-4,-195,30%,0%,0,2
Breathe,CN,TOP,9,77.80%,3.7,4.2,2.3,4.3,8.7,433,47.10%,23.8,546,1.01,0.36,0.18,0.18,392,8,279,33.30%,11.10%,0,7
Ceos,BR,SUPPORT,10,40%,2.5,0.6,4,9.5,1.1,229,70.70%,7.2,162,2.58,1.63,0.25,0.55,-70,2,164,30%,10%,0,1
Croc,KR,JUNGLE,10,40%,2.4,2.7,3.8,6.5,4.9,330,64.10%,16.1,365,1.31,0.36,0.27,0.39,-155,0,27,40%,0%,0,1
Deft,KR,ADC,5,100%,10.5,4.6,1.2,8,9.8,469,69%,29.6,805,1.33,0.5,0.32,0.17,853,19,587,0%,0%,0,2
Elyoya,ES,JUNGLE,12,50%,5.3,3.9,2,6.7,6,373,77.30%,14.9,300,1.66,0.32,0.57,0.31,401,10,297,66.70%,16.70%,0,2
Evi,JP,TOP,14,50%,2.1,2.2,3.7,5.6,7.4,365,55.20%,24.6,558,1.07,0.39,0.17,0.18,-99,-7,-290,21.40%,14.30%,0,2
Farfetch,TR,SUPPORT,5,0%,1.3,0.2,6.4,7.8,0.9,206,70.50%,9.5,208,2.14,1.37,0.2,0.38,-526,-8,20,20%,20%,0,-
Ferret,TR,JUNGLE,5,0%,1.8,1.4,4.8,7,4.1,278,71.60%,14.9,330,1.39,0.27,0.43,0.2,-803,-18,-666,0%,20%,0,-
Froggy,VN,MID,9,33.30%,2.8,1.6,2.7,6,7.9,362,68.20%,23.4,487,0.95,0.33,0.21,0.16,-542,-6,-1,11.10%,0%,0,1
GALA,CN,ADC,9,77.80%,9.6,4.8,1.2,7,10.3,489,65.60%,27.7,633,1.23,0.26,0.39,0.08,659,8,318,44.40%,0%,0,1
Gavotto,MX,ADC,5,20%,1.7,2.2,3.6,4,7.9,372,61.30%,19.6,384,0.8,0.37,0.31,0.14,-825,-16,-1008,0%,20%,0,-
Grell,MX,JUNGLE,5,20%,1.7,3.2,5.2,5.8,6.4,358,86.70%,23,435,1.48,0.43,0.38,0.23,-223,6,261,20%,20%,0,2
Harp,KR,SUPPORT,14,50%,2.9,0.7,3.4,9,0.9,231,68.20%,9.9,228,2.54,1.58,0.3,0.51,68,-4,-151,35.70%,21.40%,0,-
Hasmed,VN,TOP,9,33.30%,2.2,3.2,3,3.3,8,389,54.70%,23.8,486,1.16,0.42,0.27,0.21,-98,-3,-488,0%,22.20%,0,3
Holyphoenix,TR,ADC,5,0%,3.3,4.4,3,5.6,9.2,423,86.50%,22.2,498,1.1,0.35,0.24,0.11,-601,-8,-293,20%,0%,0,-
HuSha,TW,JUNGLE,5,40%,4.4,3,2.6,8.4,5,329,86.90%,16.4,301,1.1,0.3,0.26,0.3,162,-8,-156,20%,0%,0,-
Humanoid,CZ,MID,5,80%,5,5.2,1.8,3.8,8.8,451,54%,33.5,813,0.97,0.42,0.2,0.09,702,28,724,20%,20%,0,4
Hylissang,BG,SUPPORT,3,66.70%,2.1,1.3,4.3,7.7,1.2,248,57.90%,9.4,249,2.38,1.34,0.32,0.29,137,4,186,0%,33.30%,0,-
Impact,KR,TOP,10,80%,8.2,4.2,1.2,5.6,8.2,442,51.40%,26.2,570,0.97,0.35,0.17,0.14,475,1,265,30%,20%,0,5
Inspired,PL,JUNGLE,10,80%,14,2.9,0.9,9.7,5.2,346,75.80%,14.6,315,1.41,0.38,0.37,0.25,326,4,314,50%,0%,0,1
Jelly,KR,SUPPORT,5,20%,1,0.8,6,5.4,1.2,218,60%,9,163,2.3,1.38,0.25,0.45,-579,6,-476,0%,20%,0,-
Juhan,KR,JUNGLE,2,100%,8.3,3,1.5,9.5,5.7,365,69.10%,15.7,469,1.23,0.37,0.25,0.29,139,-4,98,50%,0%,0,1
Kaiser,DE,SUPPORT,12,50%,2.3,0.3,3.5,7.8,1,227,60.50%,7,138,2.5,1.53,0.36,0.45,-179,2,-532,50%,0%,0,-
Kaori,TR,ADC,10,80%,5.7,5.7,1.9,5.1,9.8,482,56.80%,24.5,525,1.07,0.31,0.29,0.06,454,5,-122,10%,0%,0,1
Kino,TW,SUPPORT,5,40%,1.8,0.2,5,9,1.1,224,64.70%,5.3,97,2.82,1.57,0.4,0.49,-381,-3,-811,20%,40%,0,-
Liang,TW,TOP,1,100%,8,3,1,5,8.4,404,61.50%,21.4,348,0.82,0.35,0.19,0.27,142,9,1164,0%,0%,0,-
Likai,TW,TOP,4,25%,2.6,1,2.3,4.8,8.2,365,34.20%,20.6,370,1.14,0.44,0.23,0.17,-313,0,261,0%,0%,0,-
Ming,CN,SUPPORT,9,77.80%,5.3,1,2.3,11.4,1,257,67.70%,7.1,173,2.75,1.64,0.31,0.48,380,4,520,55.60%,0%,0,-
Minji,TW,MID,5,40%,3.9,6,2.8,4.8,7.5,403,82.20%,24.9,451,0.81,0.32,0.15,0.17,244,-6,161,40%,20%,0,2
Nisqy,BE,MID,12,50%,3.4,3.5,2.9,6.4,8.4,408,76.30%,30.4,592,0.83,0.44,0.12,0.17,227,0,12,33.30%,0%,0,4
Pyosik,KR,JUNGLE,3,100%,6.8,1.3,1.7,10,4.1,297,59.20%,10.7,277,1.46,0.46,0.37,0.42,-301,-16,-220,33.30%,0%,0,-
Raes,NZ,ADC,5,0%,1.4,2,4,3.6,8.5,368,62.90%,21.7,437,1.07,0.36,0.27,0.12,-859,-10,-712,20%,0%,0,1
Razork,ES,JUNGLE,5,80%,4,2.4,2.6,8,6.4,369,63.50%,16.5,401,1.99,0.65,0.57,0.33,-250,9,121,20%,20%,0,1
Rhuckz,PT,SUPPORT,2,100%,-,0,0,11,1.4,255,81.20%,6.4,136,2.53,1.63,0.3,0.42,268,14,992,100%,0%,0,-
Robo,BR,TOP,10,40%,2.2,4.2,4.4,5.6,7.7,405,67.70%,27.6,626,0.95,0.44,0.14,0.16,214,5,76,30%,20%,0,9
Serin,TR,MID,5,0%,2.4,3.8,3.6,5,8,384,75.40%,34.2,764,0.51,0.22,0.11,0.04,-500,-6,-161,0%,20%,0,-
Shogun,VN,ADC,9,33.30%,4.8,4.9,1.9,4.2,10,459,67.10%,30.1,624,1.33,0.43,0.32,0.14,340,8,121,33.30%,11.10%,1,-
StarScreen,TR,TOP,5,0%,1.8,1.8,4,5.2,6.7,317,60.20%,19.2,429,0.97,0.47,0.21,0.18,-653,-12,-59,0%,20%,0,1
Steal,KR,JUNGLE,14,50%,3,1.9,3.4,8.3,4.7,305,72.80%,13.8,319,1.34,0.39,0.35,0.37,-252,-2,-292,21.40%,7.10%,0,-
Taki,VN,SUPPORT,9,33.30%,3,1,3.1,8.2,1.1,243,66.80%,7.9,165,2.72,1.68,0.4,0.43,145,-4,332,33.30%,33.30%,0,1
Tally,AU,MID,5,0%,1.9,1.6,3.4,4.8,8.2,353,63.40%,26.1,509,0.85,0.41,0.06,0.08,-1448,-18,-543,0%,40%,0,2
Tinowns,BR,MID,10,40%,3.7,3.2,2.5,6.1,8,387,66.70%,23.6,522,1.03,0.44,0.2,0.24,-113,-18,-465,20%,0%,0,-
Topoon,KR,TOP,5,0%,1.3,1.8,3.8,3,7.6,347,50%,26.1,516,0.93,0.44,0.18,0.12,-426,0,-221,0%,20%,0,-
UNF0RGIVEN,SE,ADC,12,50%,4,4,2.3,5.1,8.9,429,64.20%,25.6,509,0.88,0.36,0.24,0.12,-593,-10,16,33.30%,0%,0,1
Upset,DE,ADC,5,80%,25,5.4,0.4,4.6,10.4,483,69.80%,21.7,524,1.21,0.48,0.26,0.14,115,14,232,20%,0%,1,1
Vulcan,CA,SUPPORT,10,80%,7.5,0.8,1.7,11.9,1,253,68.10%,8.6,184,2.6,1.46,0.3,0.39,175,-2,315,20%,20%,0,-
Wako,TW,ADC,5,40%,4.5,2.6,2,6.4,9.6,432,60.80%,32.6,588,1.09,0.37,0.26,0.17,-78,-6,247,0%,0%,0,-
Wei,CN,JUNGLE,9,77.80%,8.6,3.7,1.4,8.8,5.7,379,68.60%,15.5,377,2.22,0.65,0.57,0.44,833,4,332,77.80%,0%,0,1
Wunder,DK,TOP,5,80%,3.3,1.4,2,5.2,8.6,386,37.70%,20,489,0.92,0.44,0.13,0.14,-235,5,61,0%,0%,0,-
Yaharong,KR,MID,14,50%,3.1,3.7,2.8,5,9.1,421,59.10%,27.3,630,0.81,0.24,0.2,0.13,216,12,38,14.30%,7.10%,0,4
Yutapon,JP,ADC,14,50%,3.6,5.3,2.7,4.5,9.7,457,61.60%,24.4,581,1.17,0.31,0.4,0.09,59,1,269,28.60%,7.10%,0,4
Zeka,KR,MID,5,100%,15.3,7.4,0.8,4.8,10.8,525,66.40%,28.2,769,0.82,0.28,0.16,0.16,1292,17,637,0%,0%,0,5
jojopyun,CA,MID,10,80%,4.2,3.7,2.6,7.1,7.8,395,66.30%,26,569,1.25,0.37,0.31,0.17,65,0,94,20%,10%,0,5
kingen,KR,TOP,5,100%,3.7,2.8,2.4,6,8,403,48.80%,21,571,1.02,0.32,0.23,0.18,-89,-3,-134,20%,40%,0,1
seiya,MX,MID,5,20%,2,1.8,3.2,4.6,7.7,342,55.30%,21.8,420,0.89,0.28,0.24,0.12,-1169,-10,-549,20%,0%,0,-
xiaohu,CN,MID,9,77.80%,5.1,4.3,2.3,7.6,8.6,435,65.40%,26,570,0.99,0.3,0.24,0.14,445,4,188,11.10%,0%,0,3
